招生群類別,成績區間,國文,英文,數學,專業一,專業二
10衛生與護理類,86.01～87,0,31,0,0,0
10衛生與護理類,85.01～86,26,32,0,16,53
10衛生與護理類,84.01～85,0,31,0,0,0
10衛生與護理類,83.01～84,26,37,84,21,51
10衛生與護理類,82.01～83,0,19,0,0,0
10衛生與護理類,81.01～82,50,28,0,21,66
10衛生與護理類,80.01～81,0,19,0,0,0
10衛生與護理類,79.01～80,41,35,72,27,52
10衛生與護理類,78.01～79,0,25,0,0,0
10衛生與護理類,77.01～78,56,24,0,33,49
10衛生與護理類,76.01～77,0,20,0,0,0
10衛生與護理類,75.01～76,57,24,55,31,66
10衛生與護理類,74.01～75,0,8,0,0,0
10衛生與護理類,73.01～74,71,29,0,31,51
10衛生與護理類,72.01～73,0,9,0,0,0
10衛生與護理類,71.01～72,57,26,68,38,61
10衛生與護理類,70.01～71,0,7,0,0,0
10衛生與護理類,69.01～70,75,19,0,31,55
10衛生與護理類,68.01～69,0,6,0,0,0
10衛生與護理類,67.01～68,70,17,65,44,61
10衛生與護理類,66.01～67,0,10,0,0,0
10衛生與護理類,65.01～66,84,18,0,33,57
10衛生與護理類,64.01～65,0,9,0,0,0
10衛生與護理類,63.01～64,65,26,56,42,64
10衛生與護理類,62.01～63,0,10,0,0,0
10衛生與護理類,61.01～62,86,24,0,41,69
10衛生與護理類,60.01～61,0,16,0,0,0
10衛生與護理類,59.01～60,81,19,52,42,58
10衛生與護理類,58.01～59,0,9,0,0,0
10衛生與護理類,57.01～58,71,17,0,39,64
10衛生與護理類,56.01～57,0,8,0,0,0
10衛生與護理類,55.01～56,67,19,47,43,64
10衛生與護理類,54.01～55,1,7,0,0,0
10衛生與護理類,53.01～54,59,18,0,54,64
10衛生與護理類,52.01～53,0,7,0,0,0
10衛生與護理類,51.01～52,62,11,52,45,54
10衛生與護理類,50.01～51,1,16,0,0,0
10衛生與護理類,49.01～50,60,22,0,54,48
10衛生與護理類,48.01～49,0,12,0,0,0
10衛生與護理類,47.01～48,58,15,57,49,47
10衛生與護理類,46.01～47,0,14,0,0,0
10衛生與護理類,45.01～46,48,22,0,43,51
10衛生與護理類,44.01～45,1,15,0,0,0
10衛生與護理類,43.01～44,35,16,57,53,36
10衛生與護理類,42.01～43,0,14,1,0,0
10衛生與護理類,41.01～42,45,14,0,67,32
10衛生與護理類,40.01～41,0,15,0,0,0
10衛生與護理類,39.01～40,36,15,54,87,19
10衛生與護理類,38.01～39,0,8,0,0,0
10衛生與護理類,37.01～38,33,26,0,60,16
10衛生與護理類,36.01～37,0,10,0,0,0
10衛生與護理類,35.01～36,36,15,75,70,14
10衛生與護理類,34.01～35,0,6,0,0,0
10衛生與護理類,33.01～34,20,16,0,73,7
10衛生與護理類,32.01～33,0,10,0,0,0
10衛生與護理類,31.01～32,10,27,73,69,10
10衛生與護理類,30.01～31,0,14,0,0,0
10衛生與護理類,29.01～30,18,24,0,52,5
10衛生與護理類,28.01～29,0,8,0,0,0
10衛生與護理類,27.01～28,8,21,74,65,1
10衛生與護理類,26.01～27,0,7,0,0,0
10衛生與護理類,25.01～26,4,30,0,47,4
10衛生與護理類,24.01～25,0,10,0,0,0
10衛生與護理類,23.01～24,8,25,72,36,1
10衛生與護理類,22.01～23,0,9,0,0,0
10衛生與護理類,21.01～22,3,23,0,24,0
10衛生與護理類,20.01～21,0,3,0,0,0
10衛生與護理類,19.01～20,3,13,37,22,1
10衛生與護理類,18.01～19,0,3,0,0,0
10衛生與護理類,17.01～18,3,12,0,12,0
10衛生與護理類,16.01～17,0,3,0,0,0
10衛生與護理類,15.01～16,1,9,24,2,0
10衛生與護理類,14.01～15,0,0,0,0,0
10衛生與護理類,13.01～14,1,6,0,3,0
10衛生與護理類,12.01～13,0,1,0,0,0
10衛生與護理類,11.01～12,0,1,12,1,0
10衛生與護理類,10.01～11,0,1,0,0,0
10衛生與護理類,9.01～10,0,1,0,0,0
10衛生與護理類,8.01～9,0,0,0,0,0
10衛生與護理類,7.01～8,0,2,8,1,0
10衛生與護理類,6.01～7,0,0,0,0,0
10衛生與護理類,5.01～6,0,0,0,0,0
10衛生與護理類,4.01～5,0,0,0,0,0
10衛生與護理類,3.01～4,0,0,2,0,0
10衛生與護理類,2.01～3,0,0,0,0,0
10衛生與護理類,1.01～2,0,0,0,0,0
10衛生與護理類,0.01～1,0,0,0,0,0
11食品群,99.01～100,0,0,0,0,1
11食品群,98.01～99,0,1,0,0,0
11食品群,97.01～98,0,0,0,2,1
11食品群,96.01～97,0,0,0,0,0
11食品群,95.01～96,0,1,1,6,4
11食品群,94.01～95,0,1,0,0,0
11食品群,93.01～94,0,0,0,5,7
11食品群,92.01～93,0,2,0,0,0
11食品群,91.01～92,0,1,4,12,6
11食品群,90.01～91,0,3,0,0,0
11食品群,89.01～90,0,1,0,9,9
11食品群,88.01～89,0,1,0,0,0
11食品群,87.01～88,0,1,6,14,7
11食品群,86.01～87,0,1,0,0,0
11食品群,85.01～86,0,4,0,23,9
11食品群,84.01～85,0,3,0,0,0
11食品群,83.01～84,3,2,7,14,12
11食品群,82.01～83,0,3,0,0,0
11食品群,81.01～82,1,3,0,17,15
11食品群,80.01～81,0,4,0,0,0
11食品群,79.01～80,2,11,10,18,8
11食品群,78.01～79,0,7,0,0,0
11食品群,77.01～78,8,5,0,30,11
11食品群,76.01～77,0,3,0,0,0
11食品群,75.01～76,10,7,13,21,15
11食品群,74.01～75,0,2,0,0,0
11食品群,73.01～74,18,9,0,27,13
11食品群,72.01～73,0,4,0,0,0
11食品群,71.01～72,23,13,15,20,13
11食品群,70.01～71,0,4,0,0,0
11食品群,69.01～70,25,12,0,31,13
11食品群,68.01～69,0,9,0,0,0
11食品群,67.01～68,34,13,21,24,14
11食品群,66.01～67,0,8,0,0,0
11食品群,65.01～66,31,12,0,26,12
11食品群,64.01～65,0,3,0,0,0
11食品群,63.01～64,33,11,33,35,17
11食品群,62.01～63,0,4,0,0,0
11食品群,61.01～62,48,9,0,27,19
11食品群,60.01～61,0,3,0,0,0
11食品群,59.01～60,39,10,24,27,14
11食品群,58.01～59,0,5,0,0,0
11食品群,57.01～58,43,14,0,36,14
11食品群,56.01～57,0,6,0,0,0
11食品群,55.01～56,56,18,38,36,14
11食品群,54.01～55,0,4,0,0,0
11食品群,53.01～54,58,16,0,44,21
11食品群,52.01～53,0,6,0,0,0
11食品群,51.01～52,41,9,34,24,32
11食品群,50.01～51,0,5,0,0,0
11食品群,49.01～50,64,12,0,53,27
11食品群,48.01～49,0,7,0,0,0
11食品群,47.01～48,57,8,44,45,31
11食品群,46.01～47,0,15,0,0,0
11食品群,45.01～46,54,15,0,45,36
11食品群,44.01～45,0,13,0,0,0
11食品群,43.01～44,63,14,59,58,32
11食品群,42.01～43,0,12,0,0,0
11食品群,41.01～42,50,17,0,49,32
11食品群,40.01～41,0,13,0,0,0
11食品群,39.01～40,45,21,75,50,39
11食品群,38.01～39,0,13,0,0,0
11食品群,37.01～38,56,17,0,56,49
11食品群,36.01～37,0,7,0,0,0
11食品群,35.01～36,44,23,107,50,55
11食品群,34.01～35,0,17,0,0,0
11食品群,33.01～34,37,31,0,37,60
11食品群,32.01～33,0,12,0,0,0
11食品群,31.01～32,34,33,123,31,78
11食品群,30.01～31,0,13,0,0,0
11食品群,29.01～30,26,32,0,22,61
11食品群,28.01～29,0,13,0,0,0
11食品群,27.01～28,22,47,166,20,60
11食品群,26.01～27,0,26,0,0,0
11食品群,25.01～26,15,66,0,23,59
11食品群,24.01～25,0,17,0,0,0
11食品群,23.01～24,21,66,156,13,65
11食品群,22.01～23,0,16,0,0,0
11食品群,21.01～22,16,67,0,12,45
11食品群,20.01～21,0,12,0,0,0
11食品群,19.01～20,17,57,81,9,33
11食品群,18.01～19,0,5,0,0,0
11食品群,17.01～18,11,33,0,5,22
11食品群,16.01～17,0,3,0,0,0
11食品群,15.01～16,6,36,63,1,12
11食品群,14.01～15,0,4,0,0,0
11食品群,13.01～14,4,19,0,1,4
11食品群,12.01～13,0,0,0,0,0
11食品群,11.01～12,1,7,21,0,1
11食品群,10.01～11,0,0,0,0,0
11食品群,9.01～10,1,3,0,1,2
11食品群,8.01～9,0,0,0,0,0
11食品群,7.01～8,0,0,6,0,0
11食品群,6.01～7,0,0,0,0,0
11食品群,5.01～6,0,0,0,0,0
11食品群,4.01～5,0,0,0,0,0
11食品群,3.01～4,0,0,2,0,0
11食品群,2.01～3,0,0,0,0,0
11食品群,1.01～2,0,0,0,0,1
11食品群,0.01～1,0,0,0,0,0
11食品群,0,39,40,47,47,51
12家政群幼保類,99.01～100,0,0,6,0,0
12家政群幼保類,98.01～99,0,0,0,0,0
12家政群幼保類,97.01～98,0,0,0,0,1
12家政群幼保類,96.01～97,0,0,0,0,0
12家政群幼保類,95.01～96,0,0,3,0,9
12家政群幼保類,94.01～95,0,0,0,0,0
12家政群幼保類,93.01～94,0,1,0,0,15
12家政群幼保類,92.01～93,0,0,0,0,0
12家政群幼保類,91.01～92,0,0,7,0,13
12家政群幼保類,90.01～91,0,1,0,0,0
12家政群幼保類,89.01～90,0,1,0,1,28
12家政群幼保類,88.01～89,0,3,0,0,0
12家政群幼保類,87.01～88,2,1,14,6,29
12家政群幼保類,86.01～87,0,2,0,0,0
12家政群幼保類,85.01～86,2,4,0,12,36
12家政群幼保類,84.01～85,0,6,0,0,0
12家政群幼保類,83.01～84,1,3,12,7,43
12家政群幼保類,82.01～83,0,2,0,0,0
12家政群幼保類,81.01～82,2,7,0,24,37
12家政群幼保類,80.01～81,0,1,0,0,0
12家政群幼保類,79.01～80,5,3,25,30,37
12家政群幼保類,78.01～79,0,1,0,0,0
12家政群幼保類,77.01～78,11,4,0,39,48
12家政群幼保類,76.01～77,0,6,0,0,0
12家政群幼保類,75.01～76,9,3,22,51,48
12家政群幼保類,74.01～75,0,5,0,0,0
12家政群幼保類,73.01～74,10,2,0,61,34
12家政群幼保類,72.01～73,0,6,0,0,0
12家政群幼保類,71.01～72,16,10,27,58,43
12家政群幼保類,70.01～71,0,5,0,0,0
12家政群幼保類,69.01～70,18,11,0,69,51
12家政群幼保類,68.01～69,0,4,0,0,0
12家政群幼保類,67.01～68,26,7,21,52,57
12家政群幼保類,66.01～67,0,6,0,0,0
12家政群幼保類,65.01～66,37,10,0,85,62
12家政群幼保類,64.01～65,0,6,0,0,0
12家政群幼保類,63.01～64,39,15,31,70,48
12家政群幼保類,62.01～63,0,7,0,0,0
12家政群幼保類,61.01～62,35,6,0,83,52
12家政群幼保類,60.01～61,0,2,0,0,0
12家政群幼保類,59.01～60,54,11,38,82,55
12家政群幼保類,58.01～59,0,1,0,0,0
12家政群幼保類,57.01～58,58,11,0,57,49
12家政群幼保類,56.01～57,0,10,0,0,0
12家政群幼保類,55.01～56,64,21,50,86,52
12家政群幼保類,54.01～55,0,12,0,0,0
12家政群幼保類,53.01～54,72,31,0,89,47
12家政群幼保類,52.01～53,0,6,0,0,0
12家政群幼保類,51.01～52,67,18,52,80,65
12家政群幼保類,50.01～51,0,9,0,0,0
12家政群幼保類,49.01～50,82,20,0,64,58
12家政群幼保類,48.01～49,0,10,0,0,0
12家政群幼保類,47.01～48,89,19,71,62,49
12家政群幼保類,46.01～47,0,15,0,0,0
12家政群幼保類,45.01～46,87,13,0,47,52
12家政群幼保類,44.01～45,0,13,0,0,0
12家政群幼保類,43.01～44,91,30,72,44,66
12家政群幼保類,42.01～43,0,12,0,0,0
12家政群幼保類,41.01～42,99,22,0,55,52
12家政群幼保類,40.01～41,0,14,0,0,0
12家政群幼保類,39.01～40,95,31,73,45,46
12家政群幼保類,38.01～39,0,18,0,0,1
12家政群幼保類,37.01～38,88,37,0,32,52
12家政群幼保類,36.01～37,0,17,0,0,0
12家政群幼保類,35.01～36,80,36,120,24,42
12家政群幼保類,34.01～35,0,25,0,0,0
12家政群幼保類,33.01～34,60,45,0,25,42
12家政群幼保類,32.01～33,0,30,0,0,0
12家政群幼保類,31.01～32,61,48,172,24,22
12家政群幼保類,30.01～31,0,22,0,0,0
12家政群幼保類,29.01～30,38,40,0,22,30
12家政群幼保類,28.01～29,0,28,0,0,0
12家政群幼保類,27.01～28,34,71,187,20,20
12家政群幼保類,26.01～27,0,28,0,0,0
12家政群幼保類,25.01～26,25,94,0,7,18
12家政群幼保類,24.01～25,0,37,0,0,0
12家政群幼保類,23.01～24,23,75,261,13,15
12家政群幼保類,22.01～23,0,39,0,0,0
12家政群幼保類,21.01～22,18,118,0,4,3
12家政群幼保類,20.01～21,0,25,0,0,0
12家政群幼保類,19.01～20,20,90,139,1,4
12家政群幼保類,18.01～19,0,17,0,0,0
12家政群幼保類,17.01～18,14,46,0,4,3
12家政群幼保類,16.01～17,0,2,0,0,0
12家政群幼保類,15.01～16,8,31,80,1,1
12家政群幼保類,14.01～15,0,5,0,0,0
12家政群幼保類,13.01～14,2,26,0,0,1
12家政群幼保類,12.01～13,0,3,0,0,0
12家政群幼保類,11.01～12,1,4,30,0,0
12家政群幼保類,10.01～11,0,0,0,0,0
12家政群幼保類,9.01～10,0,3,0,1,1
12家政群幼保類,8.01～9,0,1,0,0,0
12家政群幼保類,7.01～8,0,3,18,0,0
12家政群幼保類,6.01～7,0,0,0,0,0
12家政群幼保類,5.01～6,0,1,0,0,0
12家政群幼保類,4.01～5,0,0,0,0,0
12家政群幼保類,3.01～4,0,0,5,0,0
12家政群幼保類,2.01～3,0,0,0,0,0
12家政群幼保類,1.01～2,0,0,0,0,0
12家政群幼保類,0.01～1,0,0,0,0,0
12家政群幼保類,0,88,86,95,94,94
13家政群生活應用類,99.01～100,0,0,6,0,0
13家政群生活應用類,98.01～99,0,0,0,0,0
13家政群生活應用類,97.01～98,0,0,0,0,1
13家政群生活應用類,96.01～97,0,0,0,0,0
13家政群生活應用類,95.01～96,0,0,8,1,0
13家政群生活應用類,94.01～95,0,1,0,0,0
13家政群生活應用類,93.01～94,0,0,0,0,2
13家政群生活應用類,92.01～93,0,1,0,0,0
13家政群生活應用類,91.01～92,0,0,12,0,3
13家政群生活應用類,90.01～91,0,2,0,0,0
13家政群生活應用類,89.01～90,2,1,0,0,9
13家政群生活應用類,88.01～89,0,3,0,0,0
13家政群生活應用類,87.01～88,1,2,15,2,25
13家政群生活應用類,86.01～87,0,5,0,0,0
13家政群生活應用類,85.01～86,1,1,0,3,26
13家政群生活應用類,84.01～85,0,3,0,0,0
13家政群生活應用類,83.01～84,3,7,20,7,43
13家政群生活應用類,82.01～83,0,4,0,0,0
13家政群生活應用類,81.01～82,2,4,0,11,55
13家政群生活應用類,80.01～81,0,4,0,0,0
13家政群生活應用類,79.01～80,3,9,21,14,61
13家政群生活應用類,78.01～79,0,7,0,0,0
13家政群生活應用類,77.01～78,12,8,0,21,79
13家政群生活應用類,76.01～77,0,3,0,0,0
13家政群生活應用類,75.01～76,8,9,33,41,81
13家政群生活應用類,74.01～75,0,5,0,0,0
13家政群生活應用類,73.01～74,18,18,0,47,90
13家政群生活應用類,72.01～73,0,6,0,0,0
13家政群生活應用類,71.01～72,19,9,31,71,89
13家政群生活應用類,70.01～71,0,13,0,0,0
13家政群生活應用類,69.01～70,28,14,0,86,70
13家政群生活應用類,68.01～69,0,10,0,0,0
13家政群生活應用類,67.01～68,31,17,41,73,97
13家政群生活應用類,66.01～67,0,9,0,0,0
13家政群生活應用類,65.01～66,48,15,0,88,110
13家政群生活應用類,64.01～65,0,9,0,0,0
13家政群生活應用類,63.01～64,79,20,38,135,72
13家政群生活應用類,62.01～63,0,12,0,0,0
13家政群生活應用類,61.01～62,66,18,0,137,77
13家政群生活應用類,60.01～61,0,8,0,0,0
13家政群生活應用類,59.01～60,75,26,50,145,85
13家政群生活應用類,58.01～59,0,14,0,0,0
13家政群生活應用類,57.01～58,84,27,0,135,100
13家政群生活應用類,56.01～57,0,16,0,0,0
13家政群生活應用類,55.01～56,110,24,59,163,118
13家政群生活應用類,54.01～55,0,20,0,0,0
13家政群生活應用類,53.01～54,145,34,0,166,104
13家政群生活應用類,52.01～53,0,19,0,0,0
13家政群生活應用類,51.01～52,125,31,83,156,108
13家政群生活應用類,50.01～51,0,7,0,0,0
13家政群生活應用類,49.01～50,157,26,0,141,114
13家政群生活應用類,48.01～49,0,27,0,0,0
13家政群生活應用類,47.01～48,155,31,98,167,118
13家政群生活應用類,46.01～47,0,24,0,1,0
13家政群生活應用類,45.01～46,142,35,0,147,125
13家政群生活應用類,44.01～45,0,23,0,0,0
13家政群生活應用類,43.01～44,170,27,142,119,100
13家政群生活應用類,42.01～43,0,30,0,0,0
13家政群生活應用類,41.01～42,186,54,0,131,101
13家政群生活應用類,40.01～41,0,33,0,0,0
13家政群生活應用類,39.01～40,175,44,166,118,79
13家政群生活應用類,38.01～39,0,30,0,0,0
13家政群生活應用類,37.01～38,152,75,0,96,98
13家政群生活應用類,36.01～37,0,32,0,0,0
13家政群生活應用類,35.01～36,128,55,236,79,74
13家政群生活應用類,34.01～35,0,40,0,0,0
13家政群生活應用類,33.01～34,135,77,0,57,79
13家政群生活應用類,32.01～33,0,40,0,0,0
13家政群生活應用類,31.01～32,113,83,293,53,84
13家政群生活應用類,30.01～31,0,48,0,0,0
13家政群生活應用類,29.01～30,116,108,0,57,76
13家政群生活應用類,28.01～29,0,53,0,0,0
13家政群生活應用類,27.01～28,82,131,369,33,67
13家政群生活應用類,26.01～27,0,57,0,0,0
13家政群生活應用類,25.01～26,69,160,0,33,48
13家政群生活應用類,24.01～25,0,63,0,0,0
13家政群生活應用類,23.01～24,55,183,526,25,46
13家政群生活應用類,22.01～23,0,46,0,0,0
13家政群生活應用類,21.01～22,50,211,1,23,23
13家政群生活應用類,20.01～21,0,46,0,0,0
13家政群生活應用類,19.01～20,31,167,259,8,21
13家政群生活應用類,18.01～19,0,24,0,0,0
13家政群生活應用類,17.01～18,25,112,1,6,11
13家政群生活應用類,16.01～17,0,9,0,0,0
13家政群生活應用類,15.01～16,11,64,150,4,5
13家政群生活應用類,14.01～15,0,9,0,0,0
13家政群生活應用類,13.01～14,6,51,0,1,1
13家政群生活應用類,12.01～13,0,2,0,0,0
13家政群生活應用類,11.01～12,11,14,88,0,1
13家政群生活應用類,10.01～11,0,2,0,0,0
13家政群生活應用類,9.01～10,4,6,0,1,2
13家政群生活應用類,8.01～9,0,0,0,0,0
13家政群生活應用類,7.01～8,3,6,38,0,0
13家政群生活應用類,6.01～7,0,0,0,0,0
13家政群生活應用類,5.01～6,0,2,0,0,0
13家政群生活應用類,4.01～5,0,0,0,0,0
13家政群生活應用類,3.01～4,1,0,7,0,0
13家政群生活應用類,2.01～3,0,0,0,0,0
