招生系科,招生群類別,國文,英文,數學,專業一,專業二
幼兒保育系,12家政群幼保類,38,33,28,58,66
幼兒保育系,12家政群幼保類,68,38.5,48,62,82
幼兒保育系,12家政群幼保類,54,55.5,60,68,64
幼兒保育系,12家政群幼保類,34,44,20,64,68
幼兒保育系,12家政群幼保類,44,66,80,78,90
幼兒保育系,12家政群幼保類,64,36,44,70,78
幼兒保育系,12家政群幼保類,66,50.5,44,70,60
幼兒保育系,12家政群幼保類,38,12,28,62,68
幼兒保育系,12家政群幼保類,38,21,24,68,54
幼兒保育系,12家政群幼保類,48,31,36,62,76
幼兒保育系,12家政群幼保類,56,33,28,70,60
幼兒保育系,12家政群幼保類,40,46,44,70,70
幼兒保育系,12家政群幼保類,50,36,48,58,68
幼兒保育系,13家政群生活應用類,48,26,20,60,64
幼兒保育系,13家政群生活應用類,54,52.5,28,54,66
幼兒保育系,13家政群生活應用類,52,19,20,64,64
幼兒保育系,15外語群英語類,58,77.5,32,50,53
