學校,招生系科,招生群類別,一般考生招生名額,國文,英文,數學,專業一,專業二
國立臺灣科技大學,機械工程系,01機械群,40,--,4,4,2,2
國立臺灣科技大學,機械工程系,02動力機械群,2,--,4,4,2,2
國立臺灣科技大學,材料科學與工程系,01機械群,6,6,4,4,3,3
國立臺灣科技大學,材料科學與工程系,03電機群,4,6,4,4,3,3
國立臺灣科技大學,材料科學與工程系,05化工群,13,6,4,4,3,3
國立臺灣科技大學,營建工程系,06土木與建築群,32,--,8,4,2,2
國立臺灣科技大學,化學工程系,05化工群,34,--,4,4,3,3
國立臺灣科技大學,電子工程系,04電子群,45,--,4,3,2,2
國立臺灣科技大學,電機工程系,03電機群,39,5,5,5,2,2
國立臺灣科技大學,資訊工程系,04電子群,19,6,6,4,--,2.5
國立臺灣科技大學,企業管理系,09商業與管理群,26,4,4,4,3,3
國立臺灣科技大學,資訊管理系,04電子群,7,5,4,3,--,2
國立臺灣科技大學,資訊管理系,09商業與管理群,11,5,4,3,2,2
國立臺灣科技大學,資訊管理系（資安人才）,09商業與管理群,1,5,4,3,2,2
國立臺灣科技大學,設計系工業設計組,07設計群,11,4,4,4,3,2.5
國立臺灣科技大學,設計系商業設計組,07設計群,11,4,4,4,3,2.5
國立臺灣科技大學,建築系,06土木與建築群,14,5,5,5,2,2
國立臺灣科技大學,建築系,07設計群,8,5,5,5,2,2
國立臺灣科技大學,應用外語系,15外語群英語類,15,--,5,--,--,3
國立雲林科技大學,機械工程系,01機械群,78,--,5.5,4,3,3.5
國立雲林科技大學,機械工程系,02動力機械群,7,--,9,6,3,4.5
國立雲林科技大學,電機工程系,03電機群,74,5,5,5,3,3
國立雲林科技大學,電機工程系,04電子群,3,5,5,5,3,3
國立雲林科技大學,電子工程系電子工程組,03電機群,5,8,6,4,3,3
國立雲林科技大學,電子工程系電子工程組,04電子群,60,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,02動力機械群,6,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,03電機群,3,8,6,4,3,3
國立雲林科技大學,電子工程系智慧電動車組,04電子群,3,8,6,4,3,3
國立雲林科技大學,環境與安全衛生工程系,01機械群,11,--,5,4,3,3
國立雲林科技大學,環境與安全衛生工程系,05化工群,6,--,5,4,3,3
國立雲林科技大學,環境與安全衛生工程系,04電子群,10,--,5,4,3,3
國立雲林科技大學,化學工程與材料工程系,05化工群,67,--,5,5,3,3
國立雲林科技大學,營建工程系,01機械群,1,--,8,8,3,3
國立雲林科技大學,營建工程系,06土木與建築群,41,--,8,8,3,3
國立雲林科技大學,資訊工程系,03電機群,2,--,--,10,3,--
國立雲林科技大學,資訊工程系,04電子群,30,--,--,10,--,3
國立雲林科技大學,工業工程與管理系,01機械群,24,10,--,--,--,3
國立雲林科技大學,工業工程與管理系,04電子群,5,10,--,--,--,3
國立雲林科技大學,工業工程與管理系,09商業與管理群,34,10,--,--,3,--
國立雲林科技大學,企業管理系,09商業與管理群,17,10,8,6,3,3
國立雲林科技大學,企業管理系,15外語群英語類,7,10,8,6,3,3
國立雲林科技大學,企業管理系,16外語群日語類,4,10,8,6,3,3
國立雲林科技大學,資訊管理系,21資管類,24,--,7,7,3,4
國立雲林科技大學,資訊管理系,04電子群,11,--,7,7,--,3
國立雲林科技大學,資訊管理系（資安人才）,04電子群,2,--,20,10,--,3
國立雲林科技大學,財務金融系,09商業與管理群,28,--,--,10,7,3
國立雲林科技大學,財務金融系,04電子群,3,4,4,4,--,3
國立雲林科技大學,會計系,09商業與管理群,34,7,7,7,3,3
國立雲林科技大學,國際管理學士學位學程,09商業與管理群,11,--,6,--,3,--
國立雲林科技大學,國際管理學士學位學程,15外語群英語類,2,--,6,--,3,--
國立雲林科技大學,工業設計系,01機械群,4,8,5,--,3,4
國立雲林科技大學,工業設計系,07設計群,19,4.5,4,--,3,3.5
國立雲林科技大學,工業設計系,04電子群,1,10,7,--,3,5
國立雲林科技大學,視覺傳達設計系,07設計群,24,4,4,--,2.5,2.5
國立雲林科技大學,建築與室內設計系建築組,06土木與建築群,3,5,5,5,3,3
國立雲林科技大學,建築與室內設計系建築組,07設計群,8,5,5,5,3,3
國立雲林科技大學,建築與室內設計系室內組,06土木與建築群,3,5,5,5,3,3
國立雲林科技大學,建築與室內設計系室內組,07設計群,9,5,5,5,3,3
國立雲林科技大學,數位媒體設計系,07設計群,25,7,--,--,3,3.5
國立雲林科技大學,數位媒體設計系,20影視群,1,20,--,--,3,6
國立雲林科技大學,創意生活設計系,06土木與建築群,3,6,6,10,3,3
國立雲林科技大學,創意生活設計系,07設計群,11,6,6,10,3,3
國立雲林科技大學,創意生活設計系,13家政群生活應用類,3,6,6,10,3,3
國立雲林科技大學,跨域整合設計學士學位學程,06土木與建築群,1,5,--,--,--,3
國立雲林科技大學,跨域整合設計學士學位學程,07設計群,6,5,--,--,--,3
國立雲林科技大學,應用外語系,09商業與管理群,3,7,5,8,3,3
國立雲林科技大學,應用外語系,15外語群英語類,34,7,5,8,3,4.5
國立雲林科技大學,應用外語系,21資管類,1,5,6,7,3,3
國立雲林科技大學,文化資產維護系,05化工群,6,6,5,--,4,3
國立雲林科技大學,文化資產維護系,07設計群,12,6,5,--,4,3
國立雲林科技大學,文化資產維護系,09商業與管理群,11,6,5,--,4,3
國立雲林科技大學,智慧機器人學士學位學程,01機械群,2,10,8,6,4,3
國立雲林科技大學,智慧機器人學士學位學程,03電機群,3,10,8,6,3,4
國立雲林科技大學,智慧機器人學士學位學程,04電子群,4,10,8,6,4,3
國立屏東科技大學,農園生產系,14農業群,60,--,5,--,3.5,3
國立屏東科技大學,森林系,14農業群,32,4,--,--,3,3
國立屏東科技大學,水產養殖系,10衛生與護理類,5,6,6,--,3,--
國立屏東科技大學,水產養殖系,14農業群,17,6,6,--,3,--
國立屏東科技大學,水產養殖系,19水產群,11,6,6,--,3,--
國立屏東科技大學,動物科學與畜產系,14農業群,32,5,--,--,3,3
國立屏東科技大學,植物醫學系,09商業與管理群,3,6,--,--,3,3
國立屏東科技大學,植物醫學系,10衛生與護理類,3,6,--,--,3,3
國立屏東科技大學,植物醫學系,14農業群,25,6,--,--,3,3
國立屏東科技大學,木材科學與設計系,06土木與建築群,2,6,5,--,3,3
國立屏東科技大學,木材科學與設計系,07設計群,18,6,5,--,3,3
國立屏東科技大學,木材科學與設計系,14農業群,10,6,5,--,3,3
國立屏東科技大學,生物科技系,05化工群,4,6,--,--,4,3
國立屏東科技大學,生物科技系,11食品群,10,6,--,--,4,3
國立屏東科技大學,生物科技系,14農業群,20,6,--,--,3,4
國立屏東科技大學,食品科學系,11食品群,62,--,--,--,3,3
國立屏東科技大學,環境工程與科學系,05化工群,40,--,5,5,3,3
國立屏東科技大學,環境工程與科學系,08工程與管理類,1,--,5,5,3,3
國立屏東科技大學,環境工程與科學系,10衛生與護理類,16,--,5,5,3,3
國立屏東科技大學,機械工程系,01機械群,64,--,6,8,5,3
國立屏東科技大學,機械工程系,02動力機械群,1,--,6,8,5,3
國立屏東科技大學,土木工程系,06土木與建築群,56,6,--,5,3,4
國立屏東科技大學,水土保持系,06土木與建築群,28,--,--,--,7,3
國立屏東科技大學,水土保持系,14農業群,4,--,--,--,7,3
國立屏東科技大學,水土保持系,21資管類,1,--,--,--,7,3
國立屏東科技大學,車輛工程系,02動力機械群,49,6,--,--,3,3
國立屏東科技大學,車輛工程系,03電機群,1,6,--,--,3,3
國立屏東科技大學,生物機電工程系,01機械群,10,--,4,4.5,3,3
國立屏東科技大學,生物機電工程系,02動力機械群,4,--,4,4.5,3,3
國立屏東科技大學,生物機電工程系,03電機群,18,--,4,4.5,3,3
國立屏東科技大學,材料工程系,01機械群,4,--,--,5,--,3
國立屏東科技大學,材料工程系,03電機群,4,--,--,5,3,--
國立屏東科技大學,材料工程系,05化工群,2,--,--,5,--,3
國立屏東科技大學,農企業管理系,09商業與管理群,8,--,--,5,--,3
國立屏東科技大學,農企業管理系,11食品群,8,--,--,5,3,--
國立屏東科技大學,農企業管理系,14農業群,15,--,--,5,--,3
國立屏東科技大學,資訊管理系,04電子群,11,--,--,--,3,6
國立屏東科技大學,資訊管理系,21資管類,23,--,--,--,6,3
國立屏東科技大學,資訊管理系（資安人才）,04電子群,1,--,--,--,3,6
國立屏東科技大學,工業管理系,09商業與管理群,60,6,5,--,3,3
國立屏東科技大學,企業管理系,09商業與管理群,52,6,--,--,3,4
國立屏東科技大學,餐旅管理系,11食品群,1,6,5,4,3,3
國立屏東科技大學,餐旅管理系,13家政群生活應用類,2,6,5,4,3,3
國立屏東科技大學,餐旅管理系,17餐旅群,29,6,5,4,3,3
國立屏東科技大學,時尚設計與管理系,07設計群,1,6,--,--,3,--
國立屏東科技大學,時尚設計與管理系,09商業與管理群,1,6,--,--,3,--
國立屏東科技大學,時尚設計與管理系,13家政群生活應用類,26,6,--,--,3,--
國立屏東科技大學,財務金融國際學士學位學程,09商業與管理群,7,--,7,--,3,3
國立屏東科技大學,幼兒保育系,12家政群幼保類,29,8,10,--,5,3
國立屏東科技大學,應用外語系,15外語群英語類,29,--,6,--,--,3
國立屏東科技大學,應用外語系,16外語群日語類,2,--,6,--,--,3
國立屏東科技大學,應用外語系,17餐旅群,2,--,6,--,3,--
國立屏東科技大學,社會工作系,09商業與管理群,14,6,--,--,3,3
國立屏東科技大學,社會工作系,10衛生與護理類,3,6,--,--,3,3
國立屏東科技大學,社會工作系,12家政群幼保類,14,6,--,--,3,3
國立屏東科技大學,休閒運動健康系,09商業與管理群,11,9,--,--,3,--
國立屏東科技大學,休閒運動健康系,17餐旅群,8,9,--,--,3,--
國立屏東科技大學,休閒運動健康系,21資管類,4,9,--,--,3,--
國立屏東科技大學,熱帶農業暨國際合作系,14農業群,17,--,4,--,3.5,3
國立屏東科技大學,獸醫學系,14農業群,30,12,7,12,1.5,1.5
國立屏東科技大學,智慧機電學士學位學程,01機械群,7,5,4,6,3,3
國立屏東科技大學,智慧機電學士學位學程,03電機群,7,5,4,6,3,3
國立屏東科技大學,智慧機電學士學位學程,14農業群,2,5,4,6,3,3
國立臺北科技大學,機械工程系,01機械群,45,--,3.5,3.5,2.5,2.5
國立臺北科技大學,車輛工程系,02動力機械群,24,--,4,--,3,3
國立臺北科技大學,能源與冷凍空調工程系,01機械群,1,--,6,6,3,--
國立臺北科技大學,能源與冷凍空調工程系,03電機群,22,--,6,6,--,3
國立臺北科技大學,能源與冷凍空調工程系,04電子群,1,--,6,6,--,3
國立臺北科技大學,電機工程系,03電機群,55,6,6,5,2.5,2.5
國立臺北科技大學,電機工程系,04電子群,13,6,6,5,3,3
國立臺北科技大學,電子工程系,04電子群,50,--,4,3.5,3,2.5
國立臺北科技大學,光電工程系,04電子群,23,--,4,4,--,3
國立臺北科技大學,資訊工程系,03電機群,2,--,5,5,3,--
國立臺北科技大學,資訊工程系,04電子群,20,--,5,5,--,3
國立臺北科技大學,資訊工程系（資安人才）,04電子群,1,--,5,5,--,3
國立臺北科技大學,土木工程系,06土木與建築群,47,--,5,--,3,3
國立臺北科技大學,分子科學與工程系,05化工群,9,--,4,--,--,3
國立臺北科技大學,材料及資源工程系材料組,01機械群,5,--,6,--,3,--
國立臺北科技大學,材料及資源工程系材料組,05化工群,4,--,6,--,--,3
國立臺北科技大學,材料及資源工程系材料組,08工程與管理類,2,--,6,--,3,--
國立臺北科技大學,材料及資源工程系資源組,01機械群,4,--,6,--,3,--
國立臺北科技大學,材料及資源工程系資源組,05化工群,4,--,6,--,--,3
國立臺北科技大學,材料及資源工程系資源組,06土木與建築群,3,--,6,--,3,--
國立臺北科技大學,化學工程與生物科技系,05化工群,63,--,4,3,2,2.5
國立臺北科技大學,工業工程與管理系,01機械群,10,--,4,4,--,3
國立臺北科技大學,工業工程與管理系,04電子群,5,--,4,4,--,3
國立臺北科技大學,工業工程與管理系,09商業與管理群,25,--,4,4,--,3
國立臺北科技大學,經營管理系,09商業與管理群,23,--,6,--,3,3
國立臺北科技大學,資訊與財金管理系,04電子群,6,6,6,6,5,3
國立臺北科技大學,資訊與財金管理系,09商業與管理群,19,6,6,6,4,3
國立臺北科技大學,建築系,06土木與建築群,15,--,5,--,4,3
國立臺北科技大學,建築系,07設計群,9,--,5,--,4,3
國立臺北科技大學,工業設計系產品設計組,07設計群,13,--,4,--,--,3
國立臺北科技大學,工業設計系家具與室內設計組,07設計群,12,--,4,--,--,3
國立臺北科技大學,互動設計系媒體設計組,04電子群,13,--,4,--,3,3
國立臺北科技大學,互動設計系視覺傳達設計組,07設計群,13,--,4,--,3,3
國立臺北科技大學,應用英文系,15外語群英語類,23,--,5,--,--,3
國立臺北科技大學,文化事業發展系,13家政群生活應用類,7,4,4,--,--,3
國立臺北科技大學,文化事業發展系,15外語群英語類,9,3.5,4.5,--,2.5,--
國立臺北科技大學,文化事業發展系,20影視群,3,4,4,--,--,3
國立高雄科技大學,化學工程與材料工程系,05化工群,62,--,6,6,3,3
國立高雄科技大學,土木工程系,06土木與建築群,71,5,--,4,3,3
國立高雄科技大學,工業工程與管理系,01機械群,16,--,--,4,3,3
國立高雄科技大學,工業工程與管理系,08工程與管理類,2,4,4,4,3,3
國立高雄科技大學,工業工程與管理系,09商業與管理群,17,5,--,7,3,--
國立高雄科技大學,營建工程系,06土木與建築群,50,6,--,4,3,--
國立高雄科技大學,營建工程系,07設計群,20,6,--,4,3,--
國立高雄科技大學,環境與安全衛生工程系,02動力機械群,22,8,--,--,3,--
國立高雄科技大學,環境與安全衛生工程系,05化工群,21,8,--,--,--,3
國立高雄科技大學,環境與安全衛生工程系,06土木與建築群,19,8,--,--,3,--
國立高雄科技大學,機械工程系,01機械群,28,--,6,4,3,--
國立高雄科技大學,機械工程系智能系統與控制組,01機械群,27,--,6,4,3,--
國立高雄科技大學,機械工程系微奈米技術組,01機械群,27,--,6,4,3,--
國立高雄科技大學,模具工程系,01機械群,23,--,6,5,3,3
國立高雄科技大學,模具工程系,02動力機械群,1,--,6,5,3,3
國立高雄科技大學,模具工程系,07設計群,1,--,6,5,3,3
國立高雄科技大學,模具工程系光電模具組,01機械群,23,--,6,5,3,3
國立高雄科技大學,模具工程系光電模具組,02動力機械群,1,--,6,5,3,3
國立高雄科技大學,模具工程系光電模具組,07設計群,1,--,6,5,3,3
國立高雄科技大學,模具工程系精微模具組,01機械群,22,--,6,5,3,3
國立高雄科技大學,模具工程系精微模具組,02動力機械群,1,--,6,5,3,3
國立高雄科技大學,模具工程系精微模具組,07設計群,1,--,6,5,3,3
國立高雄科技大學,機電工程系精密機械組,01機械群,30,--,--,4,3,3
國立高雄科技大學,機電工程系精密機械組,02動力機械群,2,--,--,4,3,3
國立高雄科技大學,機電工程系智慧自動化組,01機械群,2,--,--,4,3,3
國立高雄科技大學,機電工程系智慧自動化組,02動力機械群,11,--,--,4,3,3
國立高雄科技大學,機電工程系智慧自動化組,03電機群,20,--,--,4,3,3
國立高雄科技大學,能源與冷凍空調工程系,01機械群,2,5,4.5,4,3,3
國立高雄科技大學,能源與冷凍空調工程系,03電機群,20,5,4.5,4,3,3
國立高雄科技大學,能源與冷凍空調工程系,04電子群,2,5,4.5,4,3,3
國立高雄科技大學,車輛工程系,01機械群,2,--,6,4,3,3
國立高雄科技大學,車輛工程系,02動力機械群,16,--,6,4,3,3
國立高雄科技大學,電機工程系,03電機群,91,--,5,5,3,3
國立高雄科技大學,電子工程系電子組（建工校區）,03電機群,5,4,4,4,3,3
國立高雄科技大學,電子工程系電子組（建工校區）,04電子群,22,4,4,4,3,3
國立高雄科技大學,電子工程系電信與系統組（建工校區）,03電機群,5,4,4,4,3,3
國立高雄科技大學,電子工程系電信與系統組（建工校區）,04電子群,22,4,4,4,3,3
國立高雄科技大學,電子工程系資訊與數位IC設計組（建工校區）,03電機群,5,4,4,4,3,3
國立高雄科技大學,電子工程系資訊與數位IC設計組（建工校區）,04電子群,22,4,4,4,3,3
國立高雄科技大學,資訊工程系,04電子群,31,3.5,3.5,3.5,2.5,2.5
國立高雄科技大學,電子工程系（第一校區）,03電機群,13,--,5,5,3,--
國立高雄科技大學,電子工程系（第一校區）,04電子群,22,--,5,5,3,--
國立高雄科技大學,電腦與通訊工程系,03電機群,30,--,5,5,3,--
國立高雄科技大學,電腦與通訊工程系,04電子群,30,--,5,5,--,3
國立高雄科技大學,半導體工程系,03電機群,16,--,5,5,3,3
國立高雄科技大學,半導體工程系,04電子群,32,--,5,5,3,3
國立高雄科技大學,國際企業系,09商業與管理群,20,9,6,--,3,--
國立高雄科技大學,國際企業系,15外語群英語類,6,9,6,--,3,--
國立高雄科技大學,企業管理系,09商業與管理群,18,4,6,--,3,--
國立高雄科技大學,企業管理系,15外語群英語類,3,4,6,--,3,--
國立高雄科技大學,企業管理系,17餐旅群,2,4,6,--,3,--
國立高雄科技大學,資訊管理系,04電子群,12,--,6,6,--,3
國立高雄科技大學,資訊管理系,09商業與管理群,22,--,6,6,5,3
國立高雄科技大學,資訊管理系,21資管類,22,--,6,6,5,3
國立高雄科技大學,運籌管理系,09商業與管理群,39,--,5,5,--,3
國立高雄科技大學,運籌管理系,15外語群英語類,6,5,5,--,--,3
國立高雄科技大學,運籌管理系,17餐旅群,10,5,5,--,3,--
國立高雄科技大學,行銷與流通管理系,09商業與管理群,42,4,4,4,3,3
國立高雄科技大學,行銷與流通管理系,15外語群英語類,17,4,4,4,3,3
國立高雄科技大學,行銷與流通管理系,16外語群日語類,4,4,4,4,3,3
國立高雄科技大學,風險管理與保險系,09商業與管理群,20,6,--,4,3,--
國立高雄科技大學,風險管理與保險系,15外語群英語類,7,6,--,--,3,--
國立高雄科技大學,風險管理與保險系,21資管類,7,6,--,4,3,--
國立高雄科技大學,金融系,09商業與管理群,45,7,5,--,--,3
國立高雄科技大學,財務管理系,09商業與管理群,19,--,--,5,--,3
國立高雄科技大學,人力資源發展系,09商業與管理群,26,6,4,--,3,--
國立高雄科技大學,會計資訊系,09商業與管理群,52,4.5,--,--,--,3
國立高雄科技大學,金融資訊系,09商業與管理群,16,8,--,6,3,3
國立高雄科技大學,金融資訊系,21資管類,8,8,--,6,3,3
國立高雄科技大學,財政稅務系,09商業與管理群,30,8,6,--,--,3
國立高雄科技大學,觀光管理系,09商業與管理群,6,4,--,--,3,--
國立高雄科技大學,觀光管理系,16外語群日語類,3,--,6,--,3,--
國立高雄科技大學,觀光管理系,17餐旅群,9,--,6,--,3,--
國立高雄科技大學,智慧商務系,04電子群,12,8,--,--,--,3
國立高雄科技大學,智慧商務系,09商業與管理群,24,8,--,--,3,--
國立高雄科技大學,智慧商務系,21資管類,15,8,--,--,3,--
國立高雄科技大學,航運管理系,09商業與管理群,37,--,5,--,3,4
國立高雄科技大學,航運管理系,15外語群英語類,19,--,5,--,3,4
國立高雄科技大學,商務資訊應用系,04電子群,7,--,5,4,--,3
國立高雄科技大學,商務資訊應用系,09商業與管理群,11,--,5,4,3,--
國立高雄科技大學,商務資訊應用系（資安人才）,21資管類,43,--,5,4,3,--
國立高雄科技大學,供應鏈管理系,09商業與管理群,13,--,5,4,3,--
國立高雄科技大學,供應鏈管理系,15外語群英語類,13,--,5,4,3,--
國立高雄科技大學,供應鏈管理系,17餐旅群,3,--,5,4,3,--
國立高雄科技大學,海洋休閒管理系,09商業與管理群,6,--,8,--,3,--
國立高雄科技大學,海洋休閒管理系,15外語群英語類,9,--,4,--,3,--
國立高雄科技大學,海洋休閒管理系,17餐旅群,12,--,8,--,3,--
國立高雄科技大學,應用英語系,09商業與管理群,9,--,5,--,3,--
國立高雄科技大學,應用英語系,15外語群英語類,58,--,4,--,--,3
國立高雄科技大學,應用日語系,09商業與管理群,6,--,4,--,3,--
國立高雄科技大學,應用日語系,16外語群日語類,26,--,4,--,--,3
國立高雄科技大學,應用日語系,17餐旅群,18,--,4,--,3,--
國立高雄科技大學,應用德語系,09商業與管理群,9,6,4,--,3,--
國立高雄科技大學,應用德語系,15外語群英語類,19,6,4,--,--,3
國立高雄科技大學,應用德語系,16外語群日語類,2,6,4,--,3,--
國立高雄科技大學,文化創意產業系,07設計群,16,4,4,--,3,3
國立高雄科技大學,文化創意產業系,09商業與管理群,10,4,4,--,3,3
國立高雄科技大學,工業設計系,01機械群,5,4,5,--,--,3
國立高雄科技大學,工業設計系,04電子群,2,4,5,--,--,3
國立高雄科技大學,工業設計系,07設計群,14,4,4,--,3,3
國立高雄科技大學,漁業科技與管理系,09商業與管理群,20,7,--,--,3,--
國立高雄科技大學,漁業科技與管理系,15外語群英語類,6,7,--,--,3,--
國立高雄科技大學,漁業科技與管理系,19水產群,3,7,--,--,3,--
國立高雄科技大學,水產食品科學系,11食品群,59,--,5,5,3,3
國立高雄科技大學,水產食品科學系,17餐旅群,3,5,5,--,--,3
國立高雄科技大學,水產養殖系,10衛生與護理類,5,--,--,--,3,--
國立高雄科技大學,水產養殖系,14農業群,32,--,--,--,3,--
國立高雄科技大學,水產養殖系,19水產群,15,--,--,--,3,3
國立高雄科技大學,海洋生物技術系,10衛生與護理類,10,--,4,--,3,--
國立高雄科技大學,海洋生物技術系,11食品群,8,--,4,--,--,3
國立高雄科技大學,海洋生物技術系,14農業群,14,--,4,--,3,--
國立高雄科技大學,海洋環境工程系,05化工群,16,4,6,5,3,3
國立高雄科技大學,海洋環境工程系,10衛生與護理類,9,4,6,5,3,3
國立高雄科技大學,海洋環境工程系,14農業群,5,4,6,5,3,3
國立高雄科技大學,電訊工程系,03電機群,7,--,--,5,3,--
國立高雄科技大學,電訊工程系,04電子群,16,--,--,5,3,--
國立高雄科技大學,造船及海洋工程系,01機械群,52,6,6,6,3,3
國立高雄科技大學,造船及海洋工程系,02動力機械群,13,6,6,6,3,3
國立高雄科技大學,航運技術系,01機械群,11,--,4,--,--,3
國立高雄科技大學,航運技術系,09商業與管理群,11,--,4,--,3,--
國立高雄科技大學,航運技術系,18海事群,4,--,4,--,3,--
國立高雄科技大學,輪機工程系,01機械群,16,--,4,4,3,3
國立高雄科技大學,輪機工程系,02動力機械群,16,--,4,4,3,3
國立高雄科技大學,輪機工程系,18海事群,15,4,4,4,--,3
國立高雄科技大學,海事資訊科技系,04電子群,17,3,5,4,2,3
國立高雄科技大學,海事資訊科技系,09商業與管理群,7,3,5,4,3,2
國立高雄科技大學,海事資訊科技系,18海事群,3,3,5,4,2,3
國立高雄科技大學,高瞻科技不分系學士學位學程,01機械群,5,5,7,--,--,3
國立高雄科技大學,高瞻科技不分系學士學位學程,04電子群,5,5,7,--,--,3
國立高雄科技大學,高瞻科技不分系學士學位學程,09商業與管理群,3,6,--,--,3,--
國立虎尾科技大學,機械與電腦輔助工程系,01機械群,64,9,--,6,--,3
國立虎尾科技大學,機械與電腦輔助工程系,02動力機械群,1,9,--,6,--,3
國立虎尾科技大學,車輛工程系,02動力機械群,62,--,8,7,3,6
國立虎尾科技大學,材料科學與工程系,01機械群,36,9,8,7,3,5
國立虎尾科技大學,材料科學與工程系,04電子群,10,12,10,9,3,--
國立虎尾科技大學,材料科學與工程系,05化工群,20,12,11,10,--,3
國立虎尾科技大學,機械設計工程系,01機械群,64,--,--,--,3,9
國立虎尾科技大學,動力機械工程系,01機械群,29,--,--,9,5,3
國立虎尾科技大學,動力機械工程系,02動力機械群,22,--,--,9,3,--
國立虎尾科技大學,動力機械工程系,03電機群,14,--,--,8,5,3
國立虎尾科技大學,自動化工程系,01機械群,30,--,--,6,3,--
國立虎尾科技大學,自動化工程系,03電機群,21,--,--,6,3,--
國立虎尾科技大學,自動化工程系,04電子群,10,--,--,6,3,--
國立虎尾科技大學,自動化工程系（資安人才）,04電子群,3,--,--,6,3,--
國立虎尾科技大學,飛機工程系機械組,01機械群,38,--,6,6,3,3
國立虎尾科技大學,飛機工程系機械組（1）,01機械群,5,--,6,6,3,3
國立虎尾科技大學,飛機工程系機械組,02動力機械群,21,--,6,6,3,3
國立虎尾科技大學,飛機工程系航空電子組,03電機群,30,--,6,7,3,3
國立虎尾科技大學,飛機工程系航空電子組,04電子群,34,--,6,7,3,3
國立虎尾科技大學,電機工程系,03電機群,52,9,6,--,3,--
國立虎尾科技大學,電機工程系,04電子群,10,9,6,--,3,--
國立虎尾科技大學,光電工程系,03電機群,34,--,--,9,3,6
國立虎尾科技大學,光電工程系,04電子群,33,--,--,9,3,6
國立虎尾科技大學,資訊工程系,03電機群,8,--,--,6,3,--
國立虎尾科技大學,資訊工程系,04電子群,48,8,--,--,4,3
國立虎尾科技大學,資訊工程系,09商業與管理群,4,--,--,7,3,--
國立虎尾科技大學,資訊工程系（資安人才）,04電子群,2,10,--,--,4,5
國立虎尾科技大學,電子工程系,03電機群,13,9,6,--,--,3
國立虎尾科技大學,電子工程系,04電子群,20,9,6,--,--,3
國立虎尾科技大學,工業管理系,01機械群,18,9,--,10,--,3
國立虎尾科技大學,工業管理系,08工程與管理類,3,9,--,10,--,3
國立虎尾科技大學,工業管理系,09商業與管理群,41,8,--,9,--,3
國立虎尾科技大學,資訊管理系,04電子群,4,--,--,12,--,3
國立虎尾科技大學,資訊管理系,09商業與管理群,18,14,--,--,3,10
國立虎尾科技大學,資訊管理系,21資管類,7,14,--,--,3,10
國立虎尾科技大學,企業管理系,09商業與管理群,48,9,--,--,3,--
國立虎尾科技大學,企業管理系,15外語群英語類,11,--,10,--,3,--
國立虎尾科技大學,財務金融系,04電子群,2,--,11,--,7,3
國立虎尾科技大學,財務金融系,09商業與管理群,30,--,11,--,7,3
國立虎尾科技大學,財務金融系,15外語群英語類,1,--,11,--,3,--
國立虎尾科技大學,多媒體設計系,04電子群,7,--,--,--,--,3
國立虎尾科技大學,多媒體設計系,07設計群,25,--,--,--,12,3
國立虎尾科技大學,休閒遊憩系,07設計群,13,9,9,9,6,3
國立虎尾科技大學,休閒遊憩系,09商業與管理群,2,9,9,9,6,3
國立虎尾科技大學,休閒遊憩系,14農業群,6,9,9,9,6,3
國立虎尾科技大學,生物科技系,05化工群,12,12,10,--,--,3
國立虎尾科技大學,生物科技系,10衛生與護理類,14,--,--,--,6,3
國立虎尾科技大學,生物科技系,11食品群,15,--,--,--,6,3
國立虎尾科技大學,應用外語系,09商業與管理群,34,--,9,--,3,--
國立虎尾科技大學,應用外語系,15外語群英語類,26,--,9,--,--,3
國立虎尾科技大學,農業科技系,14農業群,24,6,--,--,3,5
國立虎尾科技大學,臥虎專班（願景計畫）,01機械群,0,3,3,3,3,3
國立虎尾科技大學,臥虎專班（願景計畫）,04電子群,0,3,3,3,3,3
國立虎尾科技大學,臥虎專班（願景計畫）,05化工群,0,3,3,3,3,3
國立虎尾科技大學,電子工程科（二專部）,03電機群,11,9,6,--,--,3
國立虎尾科技大學,電子工程科（二專部）,04電子群,14,9,6,--,--,3
國立澎湖科技大學,水產養殖系,19水產群,10,--,--,--,--,3
國立澎湖科技大學,水產養殖系,14農業群,25,--,--,--,3,3
國立澎湖科技大學,食品科學系,11食品群,35,9,--,--,3,3
國立澎湖科技大學,資訊工程系,04電子群,33,6,--,4,--,3
國立澎湖科技大學,資訊工程系,02動力機械群,2,6,--,4,--,3
國立澎湖科技大學,電信工程系,04電子群,11,6,--,--,3,--
國立澎湖科技大學,電信工程系,03電機群,22,6,--,--,3,--
國立澎湖科技大學,電信工程系,02動力機械群,2,6,--,--,--,3
國立澎湖科技大學,電機工程系,03電機群,20,6,--,--,3,3
國立澎湖科技大學,電機工程系,04電子群,13,6,--,--,3,3
國立澎湖科技大學,電機工程系,02動力機械群,1,6,--,--,3,3
國立澎湖科技大學,行銷與物流管理系,09商業與管理群,32,10,--,--,3,--
國立澎湖科技大學,行銷與物流管理系,15外語群英語類,1,10,--,--,3,--
國立澎湖科技大學,行銷與物流管理系,17餐旅群,1,10,--,--,3,--
國立澎湖科技大學,航運管理系,09商業與管理群,26,--,4,--,3,3
